uid,latitude,longitude,date,split,season,region,severity,density
aabm,39.08031907,-86.43086667,14/05/2018,train,5,1,1,585
aacd,35.87508324,-78.87843428,19/11/2020,train,11,4,1,290
aaee,35.487,-79.06213296,24/08/2016,train,8,4,1,1614
aaff,38.04947082,-99.82700111,23/07/2019,train,7,1,3,111825
aafl,39.474744,-86.898353,23/08/2021,train,8,1,4,2017313
aafp,35.64774247,-79.2717821,15/11/2017,train,11,4,1,1594
aagm,35.90688526,-79.13296163,10/06/2020,train,6,4,1,3873
aahy,35.72652194,-79.12545778,12/08/2014,train,8,4,1,6100
aaia,35.98,-78.79168619,27/06/2018,train,6,4,1,16943
aaie,35.86132514,-78.76832138,06/11/2013,train,11,4,2,22822
aaig,35.89623283,-79.04770491,24/08/2015,train,8,4,3,199930
aajk,37.74668,-97.77936,18/10/2021,train,10,1,1,13119
aamg,37.9718,-121.374,18/08/2015,train,8,3,4,1720200
aaoj,38.0201,-122.259,07/07/2015,train,7,3,4,4080000
aaoy,35.79,-79.02639225,13/06/2018,train,6,4,1,3485
aaqc,37.3906,-120.958,09/07/2013,train,7,3,4,1416342.5
aaqd,35.90753745,-79.13818143,13/08/2020,train,8,4,3,338865
aaql,38.691,-100.924,13/08/2018,train,8,1,3,289800
aaqq,36.6519,-120.632,09/03/2017,train,3,3,3,250515.5
aarj,36.115,-78.90875883,29/07/2013,train,7,4,2,72614
aarq,39.90293,-75.18015,05/12/2017,train,12,2,1,10133
aauw,35.70355347,-79.16811922,06/06/2019,train,6,4,1,3798
aaxb,35.72292896,-79.13213135,27/08/2018,train,8,4,2,45747
aaxe,37.2486,-120.851,17/01/2019,train,1,3,4,6450000
abau,35.68223511,-79.20771577,21/06/2016,train,6,4,2,23236
abbf,37.6003,-121.224,13/01/2015,train,1,3,4,3885000
abbz,35.71542362,-79.14607171,08/06/2016,train,6,4,1,581
abcg,37.4583,-120.967,08/03/2016,train,3,3,3,240746
abcx,38.0505,-121.418,15/01/2013,train,1,3,3,778068.5
abdk,35.7589,-105.1445,19/06/2017,train,6,3,2,83591
abei,35.976,-78.75614185,13/04/2016,train,4,4,1,9694
aben,35.8881581,-78.98307882,02/07/2019,train,7,4,1,9730
abin,35.85803313,-78.74197382,15/07/2014,train,7,4,1,2178
abjj,42.056766,-78.879216,24/09/2019,train,9,2,2,55049.33333
abjx,38.1156,-121.494,20/08/2013,train,8,3,4,5363220.5
abka,41.72506,-85.01198,02/08/2017,train,8,1,2,53636
abmo,35.89527007,-79.03999949,10/06/2015,train,6,4,2,73195
aboc,44.761667,-82.783333,03/04/2018,train,4,1,1,358.2412533
abqi,35.69543599,-79.18319656,06/04/2016,train,4,4,1,2628
abqw,37.8717,-121.526,17/05/2016,train,5,3,4,1673606
abrn,41.890646,-78.925275,05/10/2017,train,10,2,1,7626.284722
absl,42.086392,-78.874325,16/07/2013,train,7,2,3,379146.8027
abso,35.65003134,-79.26753078,19/07/2016,train,7,4,2,48409
abua,44.736667,-86.721667,05/08/2016,train,8,1,1,6062.838201
abui,37.1366,-120.762,12/05/2020,train,5,3,4,5260000
abvy,44.87109,-103.0033,12/06/2017,train,6,1,4,1628970
abwl,44,-82.35,31/03/2017,train,3,1,1,155.1906773
abxl,38.1602,-121.206,19/03/2019,train,3,3,4,2474705
abzk,39.21155,-97.00559,28/08/2017,train,8,1,2,93240
abzw,35.86405812,-78.79019482,22/04/2015,train,4,4,1,327
acbt,39.3092,-121.595,22/08/2019,train,8,3,4,5845000
accd,35.86688428,-78.81281395,24/05/2016,train,5,4,1,3558
acck,35.69378588,-79.18626146,13/12/2016,train,12,4,1,13863
acdj,37.3906,-120.958,14/04/2015,train,4,3,4,1572654.5
acgm,36.13,-79.06766955,24/06/2020,train,6,4,1,15394
acgx,35.6983636,-79.17775883,22/07/2014,train,7,4,1,2075
acix,37.3978,-120.96,11/08/2020,train,8,3,4,6916571
ackq,35.976,-78.75042492,16/11/2015,train,11,4,1,16597
aclb,38.48312168,-75.12969166,10/11/2020,train,11,4,1,10000
acld,35.642526,-79.28147114,15/07/2020,train,7,4,2,48797
aclj,44.868638,-93.524033,23/09/2013,train,9,1,1,4013
acmt,37.2583,-120.475,12/02/2013,train,2,3,3,182129
acoa,35.68433767,-79.2038105,22/06/2015,train,6,4,1,10529
acoz,35.63158736,-79.30178847,06/05/2015,train,5,4,1,1753
acpf,35.91362456,-79.18689955,23/06/2014,train,6,4,1,9036
acpk,37.82493334,-99.91665915,16/08/2021,train,8,1,3,201641
acqg,35.794,-79.01991641,20/09/2016,train,9,4,3,758089
acqj,35.8594928,-78.75365623,23/04/2013,train,4,4,1,631
actk,41.89424,-78.93875,16/04/2019,train,4,2,1,1267
actm,38.72020003,-75.08008333,21/08/2017,train,8,4,2,53924.99924
acuf,41.964856,-110.654119,22/08/2018,train,8,3,5,23228436.77
acwk,35.90862444,-79.14688109,28/04/2021,train,4,4,3,120721
acwx,37.1366,-120.762,13/01/2015,train,1,3,4,6592500
acxn,37.2343,-121.87,06/02/2015,train,2,3,4,5972500
acyg,35.79,-79.03232432,11/03/2020,train,3,4,1,854
acyi,44.878889,-93.490833,18/06/2013,train,6,1,1,255
acyk,35.61,-78.99699829,18/05/2021,train,5,4,2,48167
acyl,35.72484521,-79.12857211,06/08/2018,train,8,4,1,7932
aczv,35.64486809,-79.27712096,02/07/2019,train,7,4,2,34564
aczx,35.62476,-78.71115215,22/06/2016,train,6,4,3,141355
adau,44.14,-87.233333,05/08/2016,train,8,1,1,13584.31788
adef,35.742,-79.2289065,24/05/2016,train,5,4,1,13555
adfl,35.86219473,-78.77528111,19/05/2014,train,5,4,1,654
adhj,35.69077842,-79.19184749,19/02/2019,train,2,4,1,1328
adjx,41.0491,-121.762,23/08/2021,train,8,3,4,2702500
admo,35.69149702,-79.19051278,09/08/2018,train,8,4,1,1540
adow,35.66727765,-79.23549762,13/12/2016,train,12,4,1,484
adqc,35.67007219,-79.23030706,06/08/2015,train,8,4,1,1670
adsv,35.88523877,-78.95971401,21/02/2018,train,2,4,1,19461
adtv,35.79,-79.02184434,21/03/2017,train,3,4,3,250082
adtx,35.89309611,-79.02260016,12/10/2021,train,10,4,2,38727
aduy,35.8674433,-78.81728806,19/07/2016,train,7,4,2,90041
adwf,35.70610848,-79.16337357,08/06/2016,train,6,4,1,1867
adwg,40.72010333,-85.1058325,24/05/2021,train,5,1,1,3335
adwl,35.72521782,-79.12788004,26/08/2013,train,8,4,1,821
adxk,41.33056393,-85.38360833,08/06/2020,train,6,1,2,36556
adxl,37.3169,-120.742,11/04/2017,train,4,3,4,3747996.5
adxo,41.841242,-78.994719,02/09/2020,train,9,2,1,5300.663072
adzg,35.69841683,-79.17765997,22/07/2014,train,7,4,1,13278
aeaj,35.65,-78.68778733,11/08/2021,train,8,4,2,53089
aeap,35.794,-79.01032624,05/08/2014,train,8,4,1,7261
